Pk,Tm,Player,College,POS,MP.1,PTS.1,TRB.1,AST.1
1,PHI,Markelle Fultz,Washington,G,27.7,12.1,3.3,5.1
2,LAL,Lonzo Ball,UCLA,G,32.1,11.8,6.1,7.0
3,BOS,Jayson Tatum,Duke,F,34.3,23.4,7.0,3.0
4,PHO,Josh Jackson,Kansas,F,17.3,9.0,3.0,1.6
5,SAC,De'Aaron Fox,Kentucky,G,32.0,21.1,3.8,6.8
6,ORL,Jonathan Isaac,Florida State,F,28.8,11.9,6.8,1.4
7,MIN,Lauri Markkanen,Arizona,F,29.8,14.7,6.3,1.5
8,NYK,Frank Ntilikina,,G,20.8,6.3,2.1,3.0
9,DAL,Dennis Smith Jr.,NC State,G,15.8,5.5,2.3,2.9
10,SAC,Zach Collins,Gonzaga,C,26.4,7.0,6.3,1.5
11,CHO,Malik Monk,Kentucky,G,21.3,10.3,2.9,2.1
12,DET,Luke Kennard,Duke,G,32.9,15.8,3.5,4.1
13,DEN,Donovan Mitchell,Louisville,G,34.3,24.0,4.4,4.3
14,MIA,Bam Adebayo,Kentucky,C,33.6,15.9,10.2,5.1
1,PHI,Ben Simmons,LSU,G,35.4,16.4,7.8,8.0
2,LAL,Brandon Ingram,Duke,F,33.8,18.3,5.1,3.0
3,BOS,Jaylen Brown,California,G,25.9,13.0,4.2,1.4
4,PHO,Dragan Bender,,F,18.0,5.0,4.0,1.2
5,MIN,Kris Dunn,Providence,G,30.2,11.3,4.1,6.0
6,NOP,Buddy Hield,Oklahoma,G,31.9,20.7,5.0,2.5
7,DEN,Jamal Murray,Kentucky,G,32.6,18.2,4.2,4.8
8,SAC,Marquese Chriss,Washington,F,10.6,3.8,3.0,0.5
9,TOR,Jakob Poeltl,Utah,C,16.5,5.5,5.3,1.2
10,MIL,Thon Maker,,F,15.6,5.1,3.2,0.7
11,ORL,Domantas Sabonis,Gonzaga,C,24.8,14.1,9.3,2.9
12,UTA,Taurean Prince,Baylor,F,28.2,13.5,3.6,2.1
13,PHO,Georgios Papagiannis,,C,7.4,2.1,2.3,0.6
14,CHI,Denzel Valentine,Michigan State,G,13.6,6.8,2.1,1.2
1,MIN,Karl-Anthony Towns,Kentucky,C,35.6,21.3,12.3,2.4
2,LAL,D'Angelo Russell,Ohio State,G,25.7,15.5,3.9,5.2
3,PHI,Jahlil Okafor,Duke,C,12.6,6.3,3.0,0.4
4,NYK,Kristaps Porziņģis,,F,32.4,22.7,6.6,1.2
5,ORL,Mario Hezonja,,F,22.1,9.6,3.7,1.4
6,SAC,Willie Cauley-Stein,Kentucky,F,28.0,12.8,7.0,2.4
7,DEN,Emmanuel Mudiay,,G,19.5,8.6,2.4,3.2
8,DET,Stanley Johnson,Arizona,F,27.4,8.7,3.7,1.6
9,CHO,Frank Kaminsky,Wisconsin,C,23.2,11.1,3.6,1.6
10,MIA,Justise Winslow,Duke,F,24.7,7.8,5.4,2.2
11,IND,Myles Turner,Texas,C,28.2,12.7,6.4,1.3
12,UTA,Trey Lyles,Kentucky,F,19.1,9.9,4.8,1.2
13,PHO,Devin Booker,Kentucky,G,34.5,24.9,4.5,4.7
14,OKC,Cameron Payne,Murray State,G,23.3,8.8,2.8,4.5
1,CLE,Andrew Wiggins,Kansas,F,37.2,23.6,4.0,2.3
2,MIL,Jabari Parker,Duke,F,33.9,20.1,6.2,2.8
3,PHI,Joel Embiid,Kansas,C,33.7,27.5,13.6,3.7
4,ORL,Aaron Gordon,Arizona,F,28.7,12.7,5.1,1.9
5,UTA,Dante Exum,,G,16.8,8.1,1.9,3.1
6,BOS,Marcus Smart,Oklahoma State,G,30.4,10.6,3.9,4.6
7,LAL,Julius Randle,Kentucky,F,28.8,13.2,8.6,3.6
8,SAC,Nik Stauskas,Michigan,G,27.4,9.5,2.8,2.4
9,CHH,Noah Vonleh,Indiana,F,17.1,4.4,5.2,0.4
10,PHI,Elfrid Payton,Louisiana,G,29.4,12.8,4.7,6.5
11,DEN,Doug McDermott,Creighton,F,22.8,9.0,2.7,0.9
12,ORL,Dario Saric,,F,25.0,10.6,5.6,1.6
13,MIN,Zach LaVine,UCLA,G,37.2,18.9,3.4,3.0
14,PHO,T.J. Warren,NC State,F,31.0,14.4,5.1,1.1







